Graph,num_modules,Qvalue,Tvalue,Proportion_outbreak,SD,SE
geometric,10,0.0,0.1,17.423999999999999,1.5968168335786039,0.2258240022672523
geometric,125,0.1,0.1,17.059999999999999,1.3932695360195029,0.19703806738800503
geometric,125,0.2,0.1,17.056000000000001,1.7041314503288763,0.24100058091216292
geometric,125,0.3,0.1,17.124000000000002,1.5512008251673928,0.21937292449160631
geometric,125,0.4,0.1,16.768000000000001,1.6348015170044345,0.23119584771357812
geometric,125,0.5,0.1,16.167999999999996,1.6284274623083461,0.23029442025372651
geometric,125,0.6,0.1,15.376000000000003,1.78421523365316,0.25232613816249794
geometric,125,0.7,0.1,12.727999999999994,1.3234863051803749,0.18716922824011431
geometric,125,0.8,0.1,4.8360000000000003,1.4574992281301558,0.2061215175569984
geometric,125,0.9,0.1,0.0080000000000000002,0.039191835884530846,0.0055425625842204064
