Network,Qrel,Assortativity,Clustering,Betweenness,Path_length,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
2,0.7148626484804389,-0.19994910941475885,0.06627450980392158,0.14778431372549028,3.2167647058823525,45.1623808589082,26.310870468858525,0.17912233822662343,14.984334445680386,8.2094124273782825,0.055889034579800975
4,0.39161622687583725,-0.02199332246420114,0.6279904730061252,0.003925585036893397,1.5064004697592486,24.609155417239297,11.656953239017296,0.19040803152078159,42.772411953041619,15.992851820023599,0.26123184772344132
5,0.43531356304587604,-0.027577321691242353,0.662975583714174,0.004429017908372316,1.5004790236460723,24.705830957919229,12.146533516875683,0.19251131655673526,39.693293142426526,15.64967929147026,0.24803293547956626
6,0.44884292702934725,0.0998428270157507,0.6527104767438654,0.01672727272727273,1.5520000000000005,31.218998596163178,17.687252792618679,0.19130579518327792,22.766027140851662,11.424202681664799,0.12356447911814147
7,0.21748818708200301,-0.1011098522127067,0.6224642889716592,0.007933566433566434,1.507748251748251,27.561656955862688,14.777883219481835,0.19582375138484656,30.526426690079017,13.166921684737087,0.17447667979244649
10,0.28786077755140743,-0.29567737385395204,0.5394896825396827,0.04898245614035087,1.8816842105263156,29.84160853508412,19.201957362597057,0.17395332494003529,15.362823143208864,9.6276383660532492,0.087218176432233299
12,0.909003225779408,-0.022126541381720783,0.29723140673140674,0.02762511742942271,5.033267144695717,15.132009362778623,5.2101151184415979,0.12083913959740465,34.036040882194726,10.9585405116612,0.25416340648314323
13,0.9134708725253433,0.06684412273351324,0.29335504405304286,0.022493300749603828,5.318713743923936,14.968599181914572,4.065996646150345,0.11851649103031701,37.096006796941374,10.778615319254301,0.31417725516648276
15,0.6921651342302438,-0.11535636214217197,0.25086154168412234,0.03319936541512428,2.991961924907456,23.504893077202119,11.387845996906924,0.15208147195692803,26.823434991974317,11.142615231644386,0.1488064842410439
17,0.5630786080379783,0.11172957964951519,0.5095244301516609,0.007678400219148059,2.1287248322147647,20.090145203951316,7.7601964985300942,0.16403732450848776,40.108579088471849,13.677842843236693,0.28912627991792511
18,0.7652911182394007,-0.156035697510567,0.13455555555555557,0.10723649538866932,3.359202898550725,34.205183327362178,18.898774044414054,0.15998111237089671,17.366033679684701,8.5188025223318462,0.072113011160820181
26,0.378155733872748,-0.08700239735733709,0.6634909722970871,0.019094474153297684,1.6301176470588237,30.49518519854319,16.723096232892555,0.18788809792239872,22.557182529664225,11.139838896636988,0.12515882898133918
29,0.62365198664041,0.17021315294814424,0.4127420594591142,0.020488408338203774,2.188327683615819,25.05510289355486,13.565595981260493,0.16980891168622078,27.38342212472579,12.284486666936299,0.15377247814382525
33,0.30926534504255077,-0.21217174271434674,0.6771207276086955,0.025095238095238087,1.5019047619047619,37.236250875603695,20.67772441096561,0.2004431021824879,18.974722796466828,10.275020115760233,0.099602686739467469
35,0.3510668336816379,-0.1620852048455102,0.4860063492063491,0.05755311355311351,1.7481904761904756,39.175494350282008,23.521673145655878,0.19139131320498928,14.986427436440678,9.374139147003552,0.076275560433193848
41,0.14980663387032053,-0.15011087570620898,0.7120760212010211,0.028249999999999977,1.3954999999999993,38.029373842898707,24.077791287193424,0.19578675627359859,15.344154985453583,9.8242209999470518,0.079884917165041411
43,0.1488986069521042,-0.06782500965189055,0.6117698809755775,0.017246376811594216,1.3966666666666672,35.475358266340443,21.370522583626702,0.19976813619766742,19.655277874868926,10.942539506475651,0.10228906260592774
54,0.5884839881088253,0.4586021505376352,0.15000000000000013,0.12226107226107226,2.3448717948717945,53.78506049333005,27.132371339682209,0.18655279818177639,15.07436297451898,8.5241030698939735,0.058608783573327598
57,0.5972094139345109,-0.08031639518089476,0.6102221887603924,0.010984508578407364,2.1643579093111804,20.606643290728616,8.7087024211049666,0.16042179922915636,34.771632168306752,12.780351983690981,0.23542509100287848
62,0.2570199475581433,-0.08557723744058217,0.529124524625701,0.03570434782608696,1.8212000000000002,32.605014043482782,18.091257159048819,0.18451822823788377,18.962654738375118,10.133579854059242,0.10335545970849679
63,0.4357463694708759,-0.08666044512315978,0.2756441336441336,0.04995384615384617,2.198892307692308,31.487650246381556,17.685415609525567,0.17665993692649259,18.694771502694074,9.9022729502671307,0.098913983897607319
66,0.44046938040003036,-0.07597110972951804,0.31997617293973546,0.017333157059756743,2.0399894235854044,27.260737511823091,13.761142595527295,0.18570721337943186,29.066654525587325,12.302281529871548,0.16601982032104345
